name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
JVCV® Carbon Fiber Pattern Key Cover Compatible for Kia Seltos Sonet Carens Push Button Start Car Key (Black),car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61bWdTnYFuL._AC_UL320_.jpg,https://www.amazon.in/Pattern-Key-Compatible-Kia-Seltos/dp/B08G5BW2TR/ref=sr_1_553?qid=1679221886&s=automotive&sr=1-553,4.4,463,₹340,₹599
Amazon Brand - Solimo Anti Skid Grass Car Mat - Grass mat (Grey) | Polyvinyl Chloride | Passenger Car,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/A16mnaaBuML._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Anti-Grass/dp/B09RSJH1NT/ref=sr_1_554?qid=1679221886&s=automotive&sr=1-554,3.8,129,"₹1,299","₹2,990"
"Autofact Car Body Cover for Maruti Baleno (2015 to 2021) with Mirror and Antenna Pocket (Light Weight, Triple Stitched, He...",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/710sas0zwbL._AC_UL320_.jpg,https://www.amazon.in/Autofact-Maruti-New-Baleno-Accessories/dp/B07DYQ55CR/ref=sr_1_555?qid=1679221886&s=automotive&sr=1-555,3.7,346,"₹1,099","₹1,999"
"Fabtec Car Body Cover Compatible with Hyundai Elite i20 with Mirror & Antenna Pockets (Heavy Duty, Full Sized, Triple Stit...",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/61T-od051wL._AC_UL320_.jpg,https://www.amazon.in/WV01RCA08072-Hyundai-Antenna-Pockets-Storage/dp/B07CGLTK35/ref=sr_1_556?qid=1679221886&s=automotive&sr=1-556,4.0,358,"₹1,099","₹1,399"
myTVS 100 psi Analog Air Champ Car Tyre Inflator with 1 Year Warranty Car Air Pump (TI-15),car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/4158GsDWjlL._AC_UL320_.jpg,https://www.amazon.in/myTVS-Analog-Champ-Inflator-Warranty/dp/B08M9YK529/ref=sr_1_557?qid=1679221886&s=automotive&sr=1-557,4.1,113,"₹1,399","₹1,650"
GREENWORLD Black Color Fob Key Heavy Duty Keychain for To-yota Car Key Compatible With Innova/Glanza/Urban Cruser etc,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/41aMg70eFCL._AC_UL320_.jpg,https://www.amazon.in/GREENWORLD-Keychain-Compatible-Innova-Glanza/dp/B0BRJJG2YT/ref=sr_1_558?qid=1679221886&s=automotive&sr=1-558,3.8,4,₹436.05,₹999
FlagSource Indian Miniature Car Dashboard Flag with Nano ABS Base (Chrome),car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/81fePo16nVL._AC_UL320_.jpg,https://www.amazon.in/FlagSource-Indian-Miniature-Dashboard-Plastic/dp/B08VRC3VD1/ref=sr_1_559?qid=1679221886&s=automotive&sr=1-559,3.9,87,₹299,₹599
Care-car-key� For mahindra Replacement 3 Button Remote Front Half Body Car Key Shell/Case/Body for Centre Locking/Key Less...,car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/71EdF6xzqVL._AC_UL320_.jpg,https://www.amazon.in/Care-car-key-mahindra-Replacement-Locking-Mahindra/dp/B082B7932Q/ref=sr_1_560?qid=1679221886&s=automotive&sr=1-560,3.9,276,₹450,₹799
"Autofact Car Body Cover for Honda City Ivtech (2009 to 2013) with Mirror and Antenna Pocket (Light Weight, Triple Stitche...",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/714YO95OnGL._AC_UL320_.jpg,https://www.amazon.in/Autofact-Honda-City-Ivtech-2009/dp/B07DYQM4PN/ref=sr_1_561?qid=1679221886&s=automotive&sr=1-561,3.9,387,"₹1,399","₹1,999"
"CONVRT ® Paper Car Disposable Foot Mat for Passenger Car, Bus, Van, Truck, Crew Cab, Trailer, SUV, Scooter (Brown, Univers...",car & motorbike,Car Accessories,https://m.media-amazon.com/images/I/817Cwkdk+vL._AC_UL320_.jpg,https://www.amazon.in/CONVRT-Disposable-Paper-Foot-Universal/dp/B083XFJVT8/ref=sr_1_562?qid=1679221886&s=automotive&sr=1-562,4.4,135,"₹1,499","₹2,375"
